leaid,leaname,BLP,BLPPer,HSP,HSPPer,MFI,grade,Region,gapblk_ela,gapseblk_ela,gaphsp_ela,gapsehsp_ela,gapblk_math,gapseblk_math,gaphsp_math,gapsehsp_math,racepercent_ela,racepercent_math,fipst
3700240,ASHEBORO CITY SCHOOLS,2981,10.4,6320,22,40059,5,5,1.0705712,0.16147009,0.72886378,0.13896379,0.87995493,0.17512152,0.61098915,0.1412434,0.97674417,0.97687858,37
3700240,ASHEBORO CITY SCHOOLS,2981,10.4,6320,22,40059,6,5,0.78888178,0.18489312,0.71331096,0.14047116,0.86898333,0.18844408,0.39744091,0.13754417,0.94409937,0.94409937,37
3700240,ASHEBORO CITY SCHOOLS,2981,10.4,6320,22,40059,7,5,0.83709061,0.19047652,0.85725528,0.14711776,0.74369919,0.20398508,0.60020006,0.14763336,0.95652175,0.95652175,37
3700240,ASHEBORO CITY SCHOOLS,2981,10.4,6320,22,40059,8,5,1.1464078,0.18734939,0.72785187,0.14485042,0.70976257,0.17454781,0.55914545,0.13914284,0.96060604,0.96060604,37
3700270,ASHEVILLE CITY SCHOOLS,6173,17.4,880,2.5,50667,3,8,1.7972003,0.16340493,,,1.4405785,0.15609969,,,0.91640866,0.91640866,37
3700270,ASHEVILLE CITY SCHOOLS,6173,17.4,880,2.5,50667,4,8,1.6389015,0.16923687,,,1.4001508,0.16260903,,,0.93377483,0.93377483,37
3700270,ASHEVILLE CITY SCHOOLS,6173,17.4,880,2.5,50667,5,8,1.9210249,0.22413221,,,1.3394341,0.1733216,,,0.90287769,0.90287769,37
3700270,ASHEVILLE CITY SCHOOLS,6173,17.4,880,2.5,50667,6,8,1.3867395,0.16874714,,,1.1573482,0.16768669,,,0.91600001,0.91600001,37
3700270,ASHEVILLE CITY SCHOOLS,6173,17.4,880,2.5,50667,7,8,1.2581015,0.17237696,,,1.1162262,0.16790745,,,0.89867842,0.89867842,37
3700270,ASHEVILLE CITY SCHOOLS,6173,17.4,880,2.5,50667,8,8,1.4646049,0.17556871,,,1.2025319,0.1665951,,,0.93089432,0.93089432,37
3700330,BEAUFORT COUNTY SCHOOLS,12679,27.6,2000,4.3,50156,3,1,0.7806868,0.099333957,0.61808246,0.14339691,0.68907166,0.10120741,0.42377457,0.13681138,0.95071542,0.95071542,37
3700330,BEAUFORT COUNTY SCHOOLS,12679,27.6,2000,4.3,50156,4,1,0.92285562,0.10579498,0.72205812,0.15961953,0.91216791,0.11226903,0.50749719,0.16738415,0.96858639,0.96858639,37
3700330,BEAUFORT COUNTY SCHOOLS,12679,27.6,2000,4.3,50156,5,1,0.77087855,0.10800951,0.66149729,0.15089285,0.89149368,0.10945183,0.34203109,0.15517887,0.97153699,0.97153699,37
3700330,BEAUFORT COUNTY SCHOOLS,12679,27.6,2000,4.3,50156,6,1,0.82504094,0.10559358,0.35801342,0.16070631,0.94058877,0.10885552,0.37850231,0.16074748,0.96503496,0.965096,37
3700330,BEAUFORT COUNTY SCHOOLS,12679,27.6,2000,4.3,50156,7,1,0.94175553,0.10485751,0.33699575,0.18042728,0.92987716,0.1104202,0.45401037,0.1702178,0.96494466,0.96494466,37
3700330,BEAUFORT COUNTY SCHOOLS,12679,27.6,2000,4.3,50156,8,1,1.0075735,0.11440636,0.48394984,0.19419804,1.1303216,0.11971066,0.48083854,0.19814566,0.9778598,0.9778598,37
