leaid,leaname,BLPPer,HSPPer,MFI,grade,Region,gapblk_ela,gaphsp_ela,gapblk_math,gaphsp_math,racepercent_ela
3700360,BERTIE COUNTY SCHOOLS,62.5,1.1,39873,7,1,0.82165098,,0.55068678,,0.99567097
3700360,BERTIE COUNTY SCHOOLS,62.5,1.1,39873,8,1,0.41284218,,0.42627892,,0.99595141
3700390,BLADEN COUNTY SCHOOLS,34.7,6,41444,3,4,0.63416344,0.23359632,0.52701592,0.17905894,0.97607654
3700390,BLADEN COUNTY SCHOOLS,34.7,6,41444,4,4,0.62740129,0.74744797,0.69125181,0.13535124,0.98263025
3700390,BLADEN COUNTY SCHOOLS,34.7,6,41444,5,4,0.3488633,0.48996019,0.32661092,0.066676736,0.97074467
3700390,BLADEN COUNTY SCHOOLS,34.7,6,41444,6,4,0.56264347,0.55875528,0.51427692,0.090110451,0.98143238
3700390,BLADEN COUNTY SCHOOLS,34.7,6,41444,7,4,0.44316661,0.36726162,0.29678854,0.18521164,0.98522168
3700390,BLADEN COUNTY SCHOOLS,34.7,6,41444,8,4,0.6460371,0.63731456,0.41051283,0.17130873,0.99206346
3700420,BRUNSWICK COUNTY SCHOOLS,9.2,2.8,52465,3,2,0.87869632,0.48083153,0.84370428,0.57394016,0.94525903
3700420,BRUNSWICK COUNTY SCHOOLS,9.2,2.8,52465,4,2,0.8116371,0.73024035,0.7251339,0.56552935,0.93587172
3700420,BRUNSWICK COUNTY SCHOOLS,9.2,2.8,52465,5,2,0.807742,0.5123049,0.78298545,0.27005431,0.9482379
3700420,BRUNSWICK COUNTY SCHOOLS,9.2,2.8,52465,6,2,0.62787551,0.35062984,0.67045784,0.35521072,0.95748991
3700420,BRUNSWICK COUNTY SCHOOLS,9.2,2.8,52465,7,2,0.6146881,0.64950424,0.63782352,0.7018519,0.95278972
3700420,BRUNSWICK COUNTY SCHOOLS,9.2,2.8,52465,8,2,0.88947171,0.58533919,0.69244391,0.13818271,0.97535211
3700450,BUNCOMBE COUNTY SCHOOLS,5,4.5,55787,3,8,0.80348146,0.56241769,0.75921088,0.38041893,0.94612479
3700450,BUNCOMBE COUNTY SCHOOLS,5,4.5,55787,4,8,0.89131683,0.82454526,0.84378481,0.55412203,0.9391892
3700450,BUNCOMBE COUNTY SCHOOLS,5,4.5,55787,5,8,0.73796469,0.91850108,0.81975108,0.65177494,0.94799179
3700450,BUNCOMBE COUNTY SCHOOLS,5,4.5,55787,6,8,0.98431832,0.79036671,0.90359628,0.57016695,0.94532448
3700450,BUNCOMBE COUNTY SCHOOLS,5,4.5,55787,7,8,0.74150437,0.67147166,0.86737192,0.56210917,0.95411938
3700450,BUNCOMBE COUNTY SCHOOLS,5,4.5,55787,8,8,0.70401317,0.64676493,0.63180918,0.4858475,0.95807773
3700480,BURKE COUNTY SCHOOLS,6.6,5.1,45784,3,7,0.71024692,0.56271034,0.91085804,0.1537286,0.95479703
3700480,BURKE COUNTY SCHOOLS,6.6,5.1,45784,4,7,0.31597728,0.36483282,0.56515563,0.27015087,0.94545454
3700480,BURKE COUNTY SCHOOLS,6.6,5.1,45784,5,7,0.37952125,0.43862557,0.44251162,0.28104705,0.9512195
3700480,BURKE COUNTY SCHOOLS,6.6,5.1,45784,6,7,0.29772753,0.67857403,0.74835706,0.40294188,0.96317828
3700480,BURKE COUNTY SCHOOLS,6.6,5.1,45784,7,7,0.57734686,0.49442309,0.72757918,0.26742071,0.95727271
3700480,BURKE COUNTY SCHOOLS,6.6,5.1,45784,8,7,0.74482393,0.46346796,0.72744209,0.27628163,0.96478218
3700530,CABARRUS COUNTY SCHOOLS,12.7,7.7,68107,3,6,0.70661175,0.86901546,0.74490136,0.86491716,0.96143615
3700530,CABARRUS COUNTY SCHOOLS,12.7,7.7,68107,4,6,0.75063485,0.85904497,0.82786399,0.7715736,0.95662314
3700530,CABARRUS COUNTY SCHOOLS,12.7,7.7,68107,5,6,0.59744895,0.56628776,0.71109515,0.65767109,0.95077223
3700530,CABARRUS COUNTY SCHOOLS,12.7,7.7,68107,6,6,0.65430599,0.80725569,0.801027,0.74008846,0.95016611
3700530,CABARRUS COUNTY SCHOOLS,12.7,7.7,68107,7,6,0.54640555,0.67491627,0.73529345,0.60329121,0.9579792
3700530,CABARRUS COUNTY SCHOOLS,12.7,7.7,68107,8,6,0.84861851,0.86497182,0.85839456,0.77994663,0.95891041
3700580,CALDWELL COUNTY SCHOOLS,4.9,4,47777,3,7,0.93547177,0.63428867,0.85709703,0.48139176,0.9612326
3700580,CALDWELL COUNTY SCHOOLS,4.9,4,47777,4,7,0.71208179,0.5241394,0.62440151,0.33496791,0.95845699
3700580,CALDWELL COUNTY SCHOOLS,4.9,4,47777,5,7,0.6674065,0.37335074,0.805107,0.19610703,0.97064394
3700580,CALDWELL COUNTY SCHOOLS,4.9,4,47777,6,7,0.88799232,0.42885756,0.81522685,0.25050983,0.96446699
3700580,CALDWELL COUNTY SCHOOLS,4.9,4,47777,7,7,0.59417808,0.45069253,0.4204185,0.24957052,0.97011954
3700580,CALDWELL COUNTY SCHOOLS,4.9,4,47777,8,7,0.4765287,0.68038195,0.65447706,0.41851732,0.96473026
3700600,CAMDEN COUNTY SCHOOLS,16.5,1,70625,5,1,0.51990873,,0.29489592,,0.97163123
3700600,CAMDEN COUNTY SCHOOLS,16.5,1,70625,7,1,0.83920974,,0.75489384,,0.96503496
3700630,CARTERET COUNTY PUBLIC SCHOOLS,6.9,2.3,56897,3,2,0.72123271,0.87793672,0.82296133,0.68256325,0.95744681
